Schlüssel;Identnummer;Detailnetzsegment;Straßenbezeichnung;Straßenname;Bezirk;Ortsteil;RVA-Typ;Typ;Länge [m];Benutzungspflicht
8353;10-000768;59500024_59500025.01;-;Hultschiner Damm;Marzahn-Hellersdorf;Mahlsdorf;Radwege;Radweg, baulich getrennt;155,00;nein
8354;10-000769;59500025_59500019.01;-;Hultschiner Damm;Marzahn-Hellersdorf;Mahlsdorf;Radwege;Radfahrerfurt Z 340;8,00;ja
8355;09-000533;58480031_58480026.01;-;Mahlsdorfer Straße;Treptow-Köpenick;Köpenick;Radwege;Radfahrerfurt Z 340;21,00;nein
8356;11-000284;54500014_54500017.02;-;Ehrlichstraße;Lichtenberg;Karlshorst;Radwege;Geh-/Radweg, baulich unterschieden;58,00;ja
8357;09-000403;51480032_52480008.01;-;Baumschulenstraße;Treptow-Köpenick;Baumschulenweg;Radwege;Radfahrerfurt Z 340;11,00;nein
8358;09-000405;52480008_52480001.01;-;Baumschulenstraße;Treptow-Köpenick;Baumschulenweg;Radwege;Geh-/Radweg, baulich unterschieden;320,00;nein
8359;09-000680;54490002_54480005.01;-;An der Wuhlheide;Treptow-Köpenick;Oberschöneweide;Radwege;Radfahrerfurt Z 340;15,00;nein
8360;09-000681;54480005_54480006.02;-;An der Wuhlheide;Treptow-Köpenick;Oberschöneweide;Radwege;Radweg, baulich getrennt;322,00;nein
8361;09-000682;54480005_54480006.02;-;An der Wuhlheide;Treptow-Köpenick;Oberschöneweide;Radwege;Radfahrerfurt Z 340;13,00;nein
8362;09-000683;54480006_55480001.02;-;An der Wuhlheide;Treptow-Köpenick;Oberschöneweide;Radwege;Radweg, baulich getrennt;555,00;nein
8363;09-000684;55480001_55480015.01;-;An der Wuhlheide;Treptow-Köpenick;Oberschöneweide;Radwege;Radfahrerfurt Z 340;14,00;nein
8364;09-000685;55480001_55480015.01;-;An der Wuhlheide;Treptow-Köpenick;Oberschöneweide;Radwege;Geh-/Radweg, baulich unterschieden;181,00;nein
8365;09-000686;55480015_55480013.01;-;An der Wuhlheide;Treptow-Köpenick;Oberschöneweide;Radwege;Geh-/Radweg, baulich unterschieden;192,00;nein
8366;09-000687;55480013_55480003.01;-;An der Wuhlheide;Treptow-Köpenick;Oberschöneweide;Radwege;Geh-/Radweg, baulich unterschieden;192,00;nein
8367;09-000688;55480003_55470023.01;-;An der Wuhlheide;Treptow-Köpenick;Oberschöneweide;Radwege;Geh-/Radweg, baulich unterschieden;168,00;nein
8368;09-000689;56470011_56470012.01;-;An der Wuhlheide;Treptow-Köpenick;Oberschöneweide;Radwege;Geh-/Radweg, baulich unterschieden;29,00;ja
8369;09-000690;56470011_56470012.01;-;An der Wuhlheide;Treptow-Köpenick;Oberschöneweide;Radwege;Radfahrerfurt Z 340;11,00;ja
8370;09-000691;56470011_56470012.01;-;An der Wuhlheide;Treptow-Köpenick;Oberschöneweide;Radwege;Geh-/Radweg, baulich unterschieden;63,00;ja
8371;09-000694;56470011_56470012.01;-;An der Wuhlheide;Treptow-Köpenick;Oberschöneweide;Radwege;Radweg, baulich getrennt;373,00;ja
8372;09-000696;56470012_56470010.02;-;An der Wuhlheide;Treptow-Köpenick;Oberschöneweide;Radwege;Radweg, baulich getrennt;473,00;nein
8373;09-000695;56470012_56470010.02;-;An der Wuhlheide;Treptow-Köpenick;Oberschöneweide;Radwege;Radfahrerfurt Z 340;12,00;nein
8374;09-000697;56470013_57470001.01;-;An der Wuhlheide;Treptow-Köpenick;Oberschöneweide;Radwege;Geh-/Radweg, baulich unterschieden;106,00;ja
8375;09-000698;56470013_57470001.01;-;An der Wuhlheide;Treptow-Köpenick;Oberschöneweide;Radwege;Radfahrerfurt Z 340;45,00;ja
