;OBJECTID;LAND;BEZ;LOR;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;USTRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
123;114059;11;2;2040703;2018;5;18;6;3;0;6;0;1;0;1;0;0;0;0;801871,5387;5826517,464;13,44859924;52,50502827
124;114060;11;7;7060601;2018;10;13;5;3;5;3;0;1;1;0;0;0;0;0;796597,9202;5816000,467;13,36178646;52,41364489
125;114061;11;2;2050602;2018;3;20;6;3;5;2;2;0;1;0;0;0;0;0;802149,456;5827732,442;13,45378434;52,5157643
126;114062;11;7;7040405;2018;11;12;6;2;3;6;0;0;1;0;0;1;0;1;798928,7943;5821875,765;13,40120994;52,46504192
127;114063;11;7;7050501;2018;9;13;2;3;5;2;0;0;1;0;1;0;0;0;798039,5966;5819470,632;13,38601313;52,44396831
128;114064;11;6;6040701;2018;8;18;7;3;2;6;0;0;1;0;1;0;0;0;782353,0208;5815740,739;13,15269333;52,41885022
129;114065;11;3;3040614;2018;6;22;3;3;9;1;2;0;1;0;0;0;0;0;798468,7261;5833311,817;13,40471687;52,5678022
130;114066;11;1;1011303;2018;10;16;3;3;6;2;0;0;1;1;0;0;0;0;799263,811;5827877,04;13,41151669;52,51865143
131;114067;11;8;8010510;2018;6;13;5;3;2;6;0;0;1;0;0;0;0;0;802593,1455;5821806,137;13,45492201;52,46240091
132;114068;11;9;9010101;2018;8;15;6;3;5;2;0;0;1;0;0;0;0;0;802671,2263;5824985,939;13,45895361;52,49085826
133;114069;11;7;7040405;2018;4;10;7;3;0;7;0;0;1;0;0;0;0;0;799349,4005;5821552,797;13,40709308;52,46191667
134;114070;11;11;11030721;2018;4;19;7;3;2;6;0;0;1;0;0;0;0;0;804459,966;5827510,425;13,48752583;52,51248961
135;114071;11;3;3010104;2018;6;12;6;3;2;6;0;0;1;0;0;0;0;0;800250,6938;5839247,077;13,43630979;52,62002078
136;114072;11;3;3061332;2018;12;18;6;3;5;7;2;1;1;0;0;0;0;1;799989,0712;5830222,718;13,42428982;52,53927808
137;114073;11;1;1011304;2018;9;17;2;3;5;3;1;1;0;0;0;0;0;1;800013,4969;5828099,648;13,42273301;52,52023483
